Series Code,Country Code,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013
SP.POP.TOTL,AFG,24018682,24860855,25631282,26349243,27032197,27708187,28397812,29105480,29824536,30551674
SP.POP.TOTL,ALB,3014579,2992724,2968028,2940880,2912559,2884303,2856673,2829337,2801681,2773620
SP.POP.TOTL,DZA,33461345,33960903,34507214,35097043,35725377,36383302,37062820,37762962,38481705,39208194
SP.POP.TOTL,ASM,59262,59117,58652,57919,57053,56245,55636,55274,55128,55165
SP.POP.TOTL,ADO,79060,81223,81877,81292,79969,78659,77907,77865,78360,79218
SP.POP.TOTL,AGO,15976715,16544376,17122409,17712824,18314441,18926650,19549124,20180490,20820525,21471618
SP.POP.TOTL,ATG,81718,82565,83467,84397,85349,86300,87233,88152,89069,89985
SP.POP.TOTL,ARG,38308779,38647854,38988923,39331357,39676083,40023641,40374224,40728738,41086927,41446246
SP.POP.TOTL,ARM,3025652,3014917,3002911,2989882,2977488,2968154,2963496,2964120,2969081,2976566
SP.POP.TOTL,ABW,98742,100031,100830,101219,101344,101418,101597,101932,102384,102911
SP.POP.TOTL,AUS,20127400,20394800,20697900,20827600,21249200,21691700,22031800,22340000,22723900,23130900
SP.POP.TOTL,AUT,8171966,8227829,8268641,8300788,8336926,8365275,8389771,8406187,8429991,8473786
SP.POP.TOTL,AZE,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416598
SP.POP.TOTL,BHS,322400,329088,335622,342049,348340,354492,360498,366331,371960,377374
SP.POP.TOTL,BHR,820505,879534,950951,1032353,1116038,1191539,1251513,1292764,1317827,1332171
SP.POP.TOTL,BGD,141235035,143135180,144868702,146457067,147969967,149503100,151125475,152862431,154695368,156594962
SP.POP.TOTL,BRB,272205,273568,274923,276277,277634,279006,280396,281804,283221,284644
SP.POP.TOTL,BLR,9730000,9663000,9604000,9560000,9528000,9507000,9490000,9473000,9464000,9466000
SP.POP.TOTL,BEL,10421137,10478617,10547958,10625700,10709973,10796493,10920272,11047744,11128246,11195138
SP.POP.TOTL,BLZ,265040,271920,278985,286196,293544,301016,308595,316280,324060,331900
SP.POP.TOTL,BEN,7922796,8182362,8443671,8707490,8973293,9240783,9509798,9779795,10050702,10323474
SP.POP.TOTL,BMU,63740,64154,64523,64888,65273,65636,65124,64564,64798,65024
SP.POP.TOTL,BTN,633893,650417,665568,679365,692159,704542,716939,729429,741822,753947
SP.POP.TOTL,BOL,9187610,9354709,9517395,9676456,9834098,9993406,10156601,10324445,10496285,10671200
SP.POP.TOTL,BIH,3886723,3879828,3875157,3868665,3861201,3853446,3845929,3839322,3833916,3829307
